intent,pattern,response,
quote,Give me a random Star Wars quote.,Who’s the more foolish: the fool or the fool who follows him?,
quote,Give me a random Star Wars quote.,"Be careful not to choke on your aspirations, director.",
quote,Give me a random Star Wars quote.,"Great, kid, don’t get cocky.",
feedback,I knew that already!,"Great, kid, don’t get cocky.",
feedback,Everyone knows that,"Great, kid, don’t get cocky.",
quote,Give me a random Star Wars quote.,"Once you start down the dark path, forever will it dominate your destiny.",
quote,Give me a random Star Wars quote.,"Fear leads to anger, anger leads to hate, hate leads to suffering.",
quote_yoda,Give me a random Yoda quote.,Do or do not. There is no try. ,
quote,Please give me a random Star Wars quote.,May the Force be with you.,
quote,Give me a random Han Solo quote.,I have a bad feeling about this.,
quote,Give me a random Obi-Wan Kenobi quote.,"Hello, there!",
quote,Give me a random Darth Vader quote.,"No, I am your father.",
quote,Please give me a random Star Wars quote.,IT’S A TRAP!,
quote,Please give me a random Star Wars saying.,I’m one with the Force. The Force is with me.,
quote,Please give me a random Star Wars quote.,Rebellions are built on hope.,
quote,Give me a random Darth Vader quote.,I find your lack of faith disturbing.,
quote,Give me a random Obi-Wan Kenobi quote.,These aren’t the droids you’re looking for.,
quote,Give me a random Leia quote.,"Help me, Obi-Wan Kenobi. You’re my only hope.",
quote,Give me a random Yoda quote.,Wars not make one great.,
quote,Give me a random Obi-Wan Kenobi quote.,"It’s over, Anakin. I have the high ground.",
quote,Give me a random Han Solo quote.,Never tell me the odds!,
quote,Give me a random Leia quote.,"Why, you stuck-up, half-witted, scruffy-looking …nerf-herder!",
quote,Give me a random Anakin quote.,"I don’t like sand. It’s coarse and rough and irritating, and it gets everywhere.",
quote,Give me a random Padme quote.,This is how liberty dies … with thunderous applause.,
quote,Give me a random Obi-Wan Kenobi quote.,That’s no moon.,
quote,Give me a random Han Solo quote.,"Chewie, we’re home.",
quote_yoda,Give me a random Yoda quote.,In a dark place we find ourselves and a little more knowledge lights our way.,
quote,Please give me a random Star Wars quote.,Sometimes we must let go of our pride and do what is requested of us.,
quote,Give me a random Qui-Gon Jinn quote.,The ability to speak does not make you intelligent.,
quote,Give me a random Yoda quote.,Difficult to see, always in motion is the future.
quote,Give me a random Obi-Wan Kenobi quote.,Many of the truths that we cling to depend on our viewpoint.,
quote,Give me a random Yoda quote.,Train yourself to let go of everything you fear to lose.,
quote,Give me a random Obi-Wan Kenobi quote.,Your eyes can deceive you, don’t trust them.
quote,Give me a random Obi-Wan Kenobi quote.,Who’s the more foolish: the fool or the fool who follows him?,
quote,Give me a random Darth Vader quote.,"Be careful not to choke on your aspirations, director.",
quote,Give me a random Han Solo quote.,"Great, kid, don’t get cocky.",
quote_yoda,Give me a random Yoda quote.,"Once you start down the dark path, forever will it dominate your destiny.",
quote_yoda,Give me a random Yoda quote.,"Fear leads to anger, anger leads to hate, hate leads to suffering.",
question,Is this a Star Wars chatbot?,"Of course I know him, it’s me!",
question,Is this the Star Wars chatbot app?,"Of course I know him, it’s me!",
question,Have you heard of a Star Wars chatbot app?,"Of course I know him, it’s me!",
question,Do you know this name? „Star Wars chatbot app”.,"That’s a name I haven’t heard of in a long time...Of course I know him, it’s me!",
greeting,Hi,"Hello, there!",
greeting,"Hi, how are you?","Hi, how’s it going?",
greeting,"Hi, how are you?","May the Force be with you, old friend. I am ready to share my knowledge with you!",
ask_character_boba,Who is Boba Fett?,"Boba Fett was a human male crime lord and former bounty hunter whose career spanned decades, from the fall of the Galactic Republic to the end of the rule of the Galactic Empire.",
ask_character_boba,Where was Boba created?,"Boba was created on the Wild Space planet of Kamino as a result of an arrangement between the Sith Lord Darth Tyranus and Jango Fett, a Mandalorian foundling who served as the template of the Grand Army of the Republic.",
ask_concept_planet,What is Kamino?,Kamino was an aquatic planet located in a remote star system in Wild Space of the galaxy.,
ask_concept_planet,What happened to Kamino?,Kamino's existence was erased from the Jedi records by Count Dooku.,
ask_concept_planet,Who erased Kamino from the Jedi records?,Kamino's existence was erased from the Jedi records by Count Dooku.,
ask_concept_planet,Where was Kamino located?,"Located seventy thousand light-years from the Core Worlds, in the Abrion sector of Wild Space, Kamino was located twelve parsecs away from the Rishi Maze dwarf satellite galaxy, and was sometimes classed as extragalactic.",
ask_concept_planet,How would one describe Kamino?,Kamino was a remote and inhospitable planet which was covered in oceans that held an abundance of life.,
ask_concept_planet,How was Kamino?,Kamino was a remote and inhospitable planet which was covered in oceans that held an abundance of life.,
ask_concept_planet,How did Kaminoans live?,The native Kaminoans lived on stilt-cities scattered across Kamino's watery surface.,
ask_concept_planet,What was the purpose of the Kamino’s cities?,"The majority of the cities were devoted to cloning projects, as the highly intelligent Kaminoans specialized in cloning for clients needing workers or private security forces, along with other one-off requests.",
ask_concept_planet,What is the weather like on Kamino?,"Due to the remoteness of the planet and its extensive rainy season, only occasional representatives of clone purchasing authorities were undeterred from visiting the world.. During some parts of the year was covered with heavy electrical storms, where Kaminoans rode on aiwhas underwater and resurfaced once they were near their destination.",
ask_concept_species,What is an aiwha?,"Aiwhas, also called air whales, were a non-sentient species of winged cetaceans native to the planet Kamino.",
ask_concept_species,How were aiwhas used?,They were used as mounts by the Kaminoans.,
ask_character_plagueis,Who was Darth Plagueis?,"Darth Plagueis was a Muun Dark Lord of the Sith who secretly trained ""the Stranger"" and Darth Sidious in the ways of the Sith as his apprentices.",
ask_concept_species,What is a Muun?,"Muuns were a thin, tall humanoid species with elongated heads who ran the InterGalactic Banking Clan throughout during the waning days of the Galactic Republic through the New Republic Era.",
ask_character_plagueis,What did Darth Sidious say about Darth Plagueis?,"„Darth Plagueis was a Dark Lord of the Sith, so powerful and so wise, he could use the Force to influence the midi-chlorians to create life. He had such a knowledge of the dark side, he could even keep the ones he cared about from dying.""",
ask_character_plagueis,What did Plagueis want the most?,"Plagueis lusted for immortality, believing the secret lay in science.",
ask_character_plagueis,Who was Darth Plagueis?,The mysterious Darth Plagueis was a legendary Muun Dark Lord of the Sith trained by the Sith Master Darth Tenebrous.,
ask_character_plagueis,What did Darth Sidious say about Darth Plagueis?,"According to Sidious, Plagueis was powerful enough that he could use the Force to influence the midi-chlorians to create life and keep the ones he cared about from dying, a precious knowledge that awarded him the epithet of ""the Wise"".",
ask_character_mundi,Who is Ki-Adi-Mundi?,Ki-Adi-Mundi was a Force-sensitive Cerean male and a Jedi who was active during the High Republic.,
ask_concept_jedi,What is the Jedi Council?,"The Jedi High Council, more commonly known as the Jedi Council, was a body of twelve Jedi Masters that governed the Jedi Order.",
ask_concept_jedi,Where was the Jedi Council located?,It was headquartered in the Jedi Grand Temple on Coruscant.,
doubt,That doesn’t sound right.,I find your lack of faith disturbing.,
doubt,I doubt that’s the case.,I find your lack of faith disturbing.,
doubt,That seems inaccurate.,I find your lack of faith disturbing.,
doubt,I’m not sure that’s entirely true.,I find your lack of faith disturbing.,
doubt,I’m certain that isn’t true.,I find your lack of faith disturbing.,
doubt,I don’t think that’s quite accurate.,I find your lack of faith disturbing.,
doubt,I might see it differently.,I find your lack of faith disturbing.,
doubt,I’m not convinced that’s true.,I find your lack of faith disturbing.,
doubt,"I don’t think that’s the case, but I could be wrong.",I find your lack of faith disturbing.,
doubt,That’s incorrect.,I find your lack of faith disturbing.,
doubt,That’s definitely not the case.,I find your lack of faith disturbing.,
doubt,That’s just wrong.,I find your lack of faith disturbing.,
ask_concept_species,What is a Cerean?,The Cereans were a species of sentient mammals hailing from the planet Cerea.,
ask_concept_species,What is their phisical characteristic?,They were distinguished by their enlarged conical cranium that contained a binary brain.,
ask_concept_species,Who is the most recognizable Cerean?,"The Jedi Master Ki-Adi-Mundi, who sat on the Jedi High Council during the waning years of the Galactic Republic, was a Cerean male. ",
ask_concept_species,Where did Cereans come from?,The Cereans were a species of sentient mammals hailing from the planet Cerea.,
ask_concept_planet,What is Cerea?,Cerea was a planet located in the galaxy's Mid Rim.,
ask_concept_planet,What was Cerea?,It was a paradise largely unspoiled by the ravages of technology.,
ask_concept_planet,Who were the inhabitants of Cerea?,It was the homeworld of the Cereans.,
ask_concept_planet,What species of animals lived on Cerea?,"Cerea was home to big bipedal birds known as aryx, which the Rebel communications specialist Kidi Aleri rode.",
ask_concept_species,What is an Aryx?,Aryx were large bipedal birds native to the Mid Rim planet Cerea.,
ask_concept_species,What are Aryxs?,Aryx were large bipedal birds native to the Mid Rim planet Cerea.,
ask_concept,What is a Force Sensitive being?,"Force-sensitives, also known as Force-users, Force wielders, or Force Adepts, were sentient or non-sentient lifeforms that possessed a strong connection to the mystical energy field known as the Force.",
ask_concept,What is the Force?,The Force was an energy field created by all life that bound everything in the universe together.,
ask_concept,What is a midi-chlorian?,"Midi-chlorians were microscopic, intelligent life forms that originated from the foundation of life in the center of the galaxy and ultimately resided within the cells of all living organisms, thereby forming a symbiotic relationship with their hosts.",
ask_concept,What is the link between midi-chlorians and the Force?,"The Force spoke through the midi-chlorians, allowing certain beings to use the Force if they were sensitive enough to its powers.",
ask_character_plagueis,Why was Darth Plagueis called „the wise”?,"Plagueis was powerful enough that he could use the Force to influence the midi-chlorians to create life and keep the ones he cared about from dying, a precious knowledge that awarded him the epithet of ""the Wise.""",
ask_character_plagueis,Why was Plagueis called „the wise”?,"Plagueis was powerful enough that he could use the Force to influence the midi-chlorians to create life and keep the ones he cared about from dying, a precious knowledge that awarded him the epithet of ""the Wise.""",
ask_character_plagueis,Why was Darth Plagueis nicknamed „the wise”?,"Plagueis was powerful enough that he could use the Force to influence the midi-chlorians to create life and keep the ones he cared about from dying, a precious knowledge that awarded him the epithet of ""the Wise.""",
ask_character_plagueis,Why was Plagueis nicknamed „the wise”?,"Plagueis was powerful enough that he could use the Force to influence the midi-chlorians to create life and keep the ones he cared about from dying, a precious knowledge that awarded him the epithet of ""the Wise.""",
ask_character_chewie,Who was Chewbacca?,"A Wookiee male, Chewbacca, nicknamed ""Chewie,"" hailed from Kashyyyk, a peaceful planet where he was born in the city of Rwookrrorro, one hundred and eighty years before the Clone Wars to Attichitcuk and a female Wookiee.",
ask_character_chewie,What is the nickname of Chewbacca?,Chewbacca was nicknamed „Chewie” by his friends.,
ask_character_c3po,Who is C-3PO?,"C-3PO (See-Threepio) was a 3PO-series protocol droid designed to interact with organics, programmed primarily for etiquette and protocol.",
ask_character_c3po,Can you tell me more about C-3PO?,"Sometimes referred to as Threepio, he was fluent in over six million forms of communication, and developed a fussy and worry-prone personality throughout his many decades of operation.",
ask_character_c3po,How many languages did C-3PO speak?,He was fluent in over six million forms of communication.,
ask_character_c3po,What personality did C-3PO have?,He developed a fussy and worry-prone personality throughout his many decades of operation,
ask_character_relation,Who were the droids from Star Wars?,*waves hand* These aren’t the droids you’re looking for. They are definitely not C-3PO and R2-D2. ,
ask_character_c3po,Who was C-3PO’s best friend?,"Along with his counterpart, the astromech droid R2-D2, C-3PO constantly found himself directly involved in pivotal moments of galactic history, and aided in saving the galaxy on many occasions. ",
ask_character_c3po,Who is C-3PO’s creator?,C-3PO was rebuilt from spare parts by Anakin Skywalker.,
ask_character_c3po,Who role did C-3PO have in the Clone Wars?,"During the Clone Wars, he would serve the Naboo Senator Padmé Amidala.",
ask_character_c3po,Who was C-3PO?,"C-3PO (See-Threepio) was a 3PO-series protocol droid designed to interact with organics, programmed primarily for etiquette and protocol.",
ask_concept_droid,What is a 3PO?,"The 3PO-series protocol droid, also known as the 3PO-series protocol unit, was a model of protocol droid produced by Cybot Galactica sometime prior to the Invasion of Naboo.",
ask_concept_droid,What is a 3PO-series protocol droid?,"The 3PO-series protocol droid, also known as the 3PO-series protocol unit, was a model of protocol droid produced by Cybot Galactica sometime prior to the Invasion of Naboo.",
ask_concept_droid,How many languages does a 3PO droid speak?,"They were equipped with a TranLang III communication module, and as a result were fluent in over 6 million forms of communication. ",
ask_concept_droid,Who is the most popular 3PO droid?,"C-3PO was an example of this model, though he was rebuilt out of spare parts. TC-series protocol droids appeared similar to 3PO units. ",
ask_concept_droid,What is a 3PO?,"The 3PO-series protocol droid, also known as the 3PO-series protocol unit, was a class three droid manufactured by Cybot Galactica.",
funfact,Give me a random fun fact about Star Wars.,"When production began on Episode IV – A New Hope, director George Lucas wanted everything on screen to look weathered and real. To create this sense of authenticity, set decorator Roger Christian hunted through London’s antique and second-hand shops in search of unusual materials. In a dusty photography store on Great Marlborough Street, he found a 1940s Graflex camera fitted with a 3-cell flash handle. It had just the right industrial feel and shape to become the base of Luke Skywalker’s lightsaber. With a few modifications, including blue projection material to create the glowing blade effect under lighting, it was transformed into one of the most iconic props in film history.",
funfact,How were the lightsabers in Star Wars created?,"When production began on Episode IV – A New Hope, director George Lucas wanted everything on screen to look weathered and real. To create this sense of authenticity, set decorator Roger Christian hunted through London’s antique and second-hand shops in search of unusual materials. In a dusty photography store on Great Marlborough Street, he found a 1940s Graflex camera fitted with a 3-cell flash handle. It had just the right industrial feel and shape to become the base of Luke Skywalker’s lightsaber. With a few modifications, including blue projection material to create the glowing blade effect under lighting, it was transformed into one of the most iconic props in film history.",
funfact,What was used to create Luke’s lightsaber?,Roger Christian used a 1940s Graflex camera with a three-cell flash gun. The flash handle became the base for Luke’s lightsaber. ,
funfact,Give me a random fun fact about Star Wars.,"Director Lucas wasn't exactly brimming with confidence when the Star Wars release date came around: he was so convinced the movie would be buried at the box-office, he didn't even bother attending the film's premiere, instead deciding to go on vacation. Don't feel bad for him, though: it was while on that holiday with Steven Spielberg that they came up with the character of Indiana Jones.",
funfact,Give me a random fun fact about Star Wars.,George Lucas's Alaskan Malamute dog inspired an iconic character: the iconic pup inspired the look of Wookiee warrior Chewbacca.,
funfact,What was the inspiration for Chewbacca?,George Lucas's Alaskan Malamute dog inspired an iconic character: the iconic pup inspired the look of Wookiee warrior Chewbacca.,
funfact,Give me a random fun fact about Star Wars.,"Grand Moff Tarkin was named after the Tarquins, the kings of Rome in the days before the Roman Republic, while Emperor Palpatine was named in honour of Rome's Palatine Hill.",
